,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
237,Andhra Pradesh,2021,2,west godavari district,20950964,57233116236.18796,TOTAL
238,Andhra Pradesh,2021,2,kurnool district,21972396,56659287474.995804,TOTAL
239,Andhra Pradesh,2021,2,chittoor district,34344902,73654690122.43158,TOTAL
240,Andhra Pradesh,2021,2,guntur district,32968819,82356914463.83287,TOTAL
241,Andhra Pradesh,2021,2,krishna district,36370960,90021923049.96454,TOTAL
242,Andhra Pradesh,2021,3,east godavari district,39572714,89380370072.7078,TOTAL
243,Andhra Pradesh,2021,3,srikakulam district,15639768,34836400769.876816,TOTAL
244,Andhra Pradesh,2021,3,spsr nellore district,34411958,77839676988.30869,TOTAL
245,Andhra Pradesh,2021,3,vizianagaram district,14510005,31383541628.212524,TOTAL
246,Andhra Pradesh,2021,3,visakhapatnam district,69220981,136945652159.26515,TOTAL
247,Andhra Pradesh,2021,3,prakasam district,24116580,63367713446.928055,TOTAL
248,Andhra Pradesh,2021,3,anantapur district,30366444,70291248155.64975,TOTAL
249,Andhra Pradesh,2021,3,ysr district,22439316,60683557724.652336,TOTAL
250,Andhra Pradesh,2021,3,west godavari district,26245039,66647238455.1675,TOTAL
251,Andhra Pradesh,2021,3,kurnool district,26377809,62527453761.59807,TOTAL
252,Andhra Pradesh,2021,3,chittoor district,42628568,89371931753.04831,TOTAL
253,Andhra Pradesh,2021,3,guntur district,41675093,96525353090.12305,TOTAL
254,Andhra Pradesh,2021,3,krishna district,44828275,104417897558.58972,TOTAL
255,Andhra Pradesh,2021,4,east godavari district,48992531,106725597026.00356,TOTAL
256,Andhra Pradesh,2021,4,srikakulam district,18501857,39713657870.15512,TOTAL
257,Andhra Pradesh,2021,4,spsr nellore district,41921081,92256405076.26547,TOTAL
258,Andhra Pradesh,2021,4,vizianagaram district,17253059,36577529464.9687,TOTAL
259,Andhra Pradesh,2021,4,visakhapatnam district,82711538,159530099772.73474,TOTAL
260,Andhra Pradesh,2021,4,prakasam district,27858275,71323060008.47623,TOTAL
261,Andhra Pradesh,2021,4,anantapur district,36129136,81239787006.64764,TOTAL
262,Andhra Pradesh,2021,4,ysr district,26340348,69081850069.2033,TOTAL
263,Andhra Pradesh,2021,4,west godavari district,33235175,81292461575.08182,TOTAL
264,Andhra Pradesh,2021,4,kurnool district,31782248,73968947669.64754,TOTAL
265,Andhra Pradesh,2021,4,chittoor district,51119640,103985734663.73514,TOTAL
266,Andhra Pradesh,2021,4,guntur district,50919286,115553993673.17337,TOTAL
267,Andhra Pradesh,2021,4,krishna district,55489829,125015323207.89836,TOTAL
268,Andhra Pradesh,2022,1,east godavari district,54738830,121067103712.79568,TOTAL
269,Andhra Pradesh,2022,1,srikakulam district,20990782,46898912115.649216,TOTAL
270,Andhra Pradesh,2022,1,spsr nellore district,47645702,104895571602.13988,TOTAL
271,Andhra Pradesh,2022,1,vizianagaram district,19278262,41994853361.58879,TOTAL
272,Andhra Pradesh,2022,1,visakhapatnam district,88233362,170120350591.26004,TOTAL
273,Andhra Pradesh,2022,1,prakasam district,31340975,79494373254.71565,TOTAL
274,Andhra Pradesh,2022,1,anantapur district,40613148,90197023268.43825,TOTAL
275,Andhra Pradesh,2022,1,ysr district,29783739,78421693518.90942,TOTAL
276,Andhra Pradesh,2022,1,west godavari district,37271259,92397939903.60938,TOTAL
277,Andhra Pradesh,2022,1,kurnool district,35093633,81568420500.54749,TOTAL
278,Andhra Pradesh,2022,1,chittoor district,58561024,117900595508.634,TOTAL
279,Andhra Pradesh,2022,1,guntur district,57226996,129673727687.08942,TOTAL
280,Andhra Pradesh,2022,1,krishna district,61826199,139690081529.49048,TOTAL
281,Andhra Pradesh,2022,2,east godavari district,62072845,135531452997.6391,TOTAL
282,Andhra Pradesh,2022,2,srikakulam district,23727353,53754764122.4327,TOTAL
283,Andhra Pradesh,2022,2,spsr nellore district,54838708,121941082043.49483,TOTAL
284,Andhra Pradesh,2022,2,vizianagaram district,21766135,47294745020.495636,TOTAL
285,Andhra Pradesh,2022,2,visakhapatnam district,101387402,193242841582.14285,TOTAL
286,Andhra Pradesh,2022,2,prakasam district,36163507,90435082545.97766,TOTAL
287,Andhra Pradesh,2022,2,anantapur district,46099366,102138758015.76915,TOTAL
288,Andhra Pradesh,2022,2,ysr district,33154559,87601310069.59737,TOTAL
289,Andhra Pradesh,2022,2,west godavari district,44409239,107973244960.42824,TOTAL
290,Andhra Pradesh,2022,2,kurnool district,40165692,92409350855.50198,TOTAL
291,Andhra Pradesh,2022,2,chittoor district,67507661,136435445124.75616,TOTAL
292,Andhra Pradesh,2022,2,guntur district,66315749,147098141568.7623,TOTAL
293,Andhra Pradesh,2022,2,krishna district,73525814,163997729295.93134,TOTAL
294,Andhra Pradesh,2022,3,east godavari district,61467134,129677722169.74829,TOTAL
295,Andhra Pradesh,2022,3,srikakulam district,22126541,46899962921.785614,TOTAL
296,Andhra Pradesh,2022,3,spsr nellore district,42116582,95099325968.25972,TOTAL
297,Andhra Pradesh,2022,3,vizianagaram district,20440645,42513313394.84207,TOTAL
298,Andhra Pradesh,2022,3,visakhapatnam district,97434546,181124419863.61444,TOTAL
299,Andhra Pradesh,2022,3,prakasam district,35376080,87475230073.46387,TOTAL
300,Andhra Pradesh,2022,3,anantapur district,45165363,97735649608.10074,TOTAL
301,Andhra Pradesh,2022,3,ysr district,33119038,86016932181.12372,TOTAL
302,Andhra Pradesh,2022,3,west godavari district,43635951,101706854744.31876,TOTAL
303,Andhra Pradesh,2022,3,kurnool district,39557913,88415335176.31995,TOTAL
304,Andhra Pradesh,2022,3,chittoor district,65751781,133053581631.6395,TOTAL
305,Andhra Pradesh,2022,3,guntur district,65612317,141588522953.23773,TOTAL
306,Andhra Pradesh,2022,3,krishna district,71051144,153770559025.69125,TOTAL
307,Andhra Pradesh,2022,4,east godavari district,68016055,136531110139.86256,TOTAL
308,Andhra Pradesh,2022,4,srikakulam district,23693779,47726411107.88628,TOTAL
309,Andhra Pradesh,2022,4,spsr nellore district,42582064,92085916180.6851,TOTAL
310,Andhra Pradesh,2022,4,vizianagaram district,22205190,44467386404.34758,TOTAL
311,Andhra Pradesh,2022,4,visakhapatnam district,103790055,185306149744.73108,TOTAL
